customer_id,first_name,last_name,email_address,phone_number,date_of_birth,gender,address,registration_date
100028295,Matthew,Flowers,lhudson@example.org,465-735-6110x934,2018-02-17,M,"213 Bryan Lights
New Albert, PA 38284",2011-05-08
100049954,Anthony,Davis,losborn@example.com,811.609.4571x43990,1959-12-12,M,"179 Claudia Roads
New Jessica, FL 14058",2019-03-29
100147537,Glenn,Lopez,josephbell@example.com,001-942-459-2665x852,2003-01-02,F,"151 Miller Underpass
North Lisa, WI 83432",2015-06-15
100331717,Holly,Lewis,oaguilar@example.org,001-798-308-4816,1990-05-16,M,"31381 Sarah Station Apt. 809
Richardbury, AZ 57154",2010-06-17
100383255,Kathy,George,jasonjordan@example.net,820-641-6417,2019-04-03,M,"460 Michael Haven
Port Samuelmouth, PR 63245",2018-09-21
100555432,John,Clay,patelphillip@example.com,(296)516-7702,1932-05-21,F,"26952 Lozano Camp
East Robert, CT 55258",2013-09-06
100561051,Samantha,Ewing,fosterroger@example.com,+1-936-452-1663x7851,1938-01-22,F,"560 Jake Port
Thomasmouth, MH 96911",2013-09-15
101008305,Michelle,Gates,kyle24@example.net,2376605537,1927-03-24,M,"107 Samantha Terrace
Johnsonchester, FM 52997",2016-07-21
101309533,Corey,Osborne,davidmckee@example.com,+1-722-905-6023x23434,1923-08-28,M,"40688 Brown Square
South Kimberly, DE 45491",2017-10-12
101437365,Ashley,Jones,djimenez@example.org,001-863-334-6884x0457,1937-03-02,F,"59462 Vicki Court
New Peterhaven, PA 48980",2018-02-28
101633249,Noah,Olson,rjohnson@example.org,304.502.1180x953,1973-04-03,M,"98626 Donna Villages
Jonesbury, ME 93701",2017-12-15
101773111,Alexander,Carney,jacob20@example.org,001-858-242-4034,1927-08-01,F,"19608 Brown Neck Apt. 147
West Eddieborough, IL 72305",2018-06-18
101797501,Samantha,Estrada,martinezchase@example.org,+1-314-471-0515x36614,1970-12-09,F,"0815 Tucker Streets Apt. 757
East Angelaburgh, SD 99894",2012-08-11
101821366,Adam,Lozano,lisa71@example.net,(933)777-3143,1944-12-16,M,"29956 Cheryl Loop Suite 305
West Madison, WA 62171",2019-07-30
101978971,David,Brown,courtney57@example.net,001-761-337-6722x8902,1993-08-12,M,"Unit 5329 Box 2520
DPO AE 53676",2012-06-19
102040773,Reginald,Peterson,flong@example.org,780.878.3825x4960,2022-09-21,M,"3657 Tara Terrace Apt. 296
Port Loriberg, TN 45313",2016-12-30
102244857,Elizabeth,Hester,meganrichard@example.com,+1-300-513-5577,1932-05-31,F,"29915 Jennifer Courts
East Tamiville, OH 73026",2013-12-13
102250157,Patricia,Mullins,tperkins@example.com,672-772-3981,1996-04-20,F,"085 Robles Knolls
New Susan, WA 11979",2011-07-18
102252118,Kirsten,Cannon,gary29@example.org,286-216-1697,1976-05-23,M,"16688 Palmer Lodge Suite 812
East Mark, AK 52911",2016-05-19
102273224,Kyle,Johnson,charlesstrong@example.net,+1-210-892-9321,2015-05-18,M,"9151 Jeffery Loop Suite 156
Matthewfort, OH 18590",2019-10-30
